source_basename,target_key,target_basename
20260311_distill_001.md,INDUSTRY,20260311_A_live-action_Samurai_Champloo_is_in_the_works_案例.md
20260311_distill_002.md,INDUSTRY,20260311_Ford_is_giving_its_commercial_fleet_business_an_AI_make_框架.md
20260311_distill_003.md,INDUSTRY,20260311_How_AI_is_turning_the_Iran_conflict_into_theater_原则.md
20260311_distill_004.md,INDUSTRY,20260311_How_Pokémon_Go_is_giving_delivery_robots_an_inch-perfec_案例.md
20260311_distill_005.md,INDUSTRY,20260311_How_much_wildfire_prevention_is_too_much_原则.md
20260311_distill_006.md,INDUSTRY,20260311_How_the_spiraling_Iran_conflict_could_affect_data_cente_框架.md
20260311_distill_007.md,INDUSTRY,"20260311_I’ve_tested_the_latest_Switch_2_controllers,_and_this_o_案例.md"
20260311_distill_008.md,INDUSTRY,20260311_Is_the_Pentagon_allowed_to_surveil_Americans_with_AI_原则.md
20260311_distill_009.md,INDUSTRY,20260311_Judge_orders_Perplexity_to_stop_AI_agents_from_shopping_案例.md
20260311_distill_010.md,INDUSTRY,20260311_Listen_to_the_Live_Nation_CEO's_alleged_threats_to_a_co_案例.md
20260311_distill_011.md,INDUSTRY,"20260311_Nosh_Robotics’_$1,500_robot_chef_doesn&#8217;t_need_any_案例.md"
20260311_distill_012.md,INDUSTRY,"20260311_Pokopia_Pokédex_review__a_classic,_reimagined_案例.md"
20260311_distill_013.md,STARTUP,20260311_Prioritizing_energy_intelligence_for_sustainable_growth_原则.md
20260311_distill_014.md,INDUSTRY,"20260311_Razer’s_BlackShark_V2_Pro_gaming_headset_is_$90,_which_案例.md"
20260311_distill_015.md,FINANCIALS,20260311_States’_trial_against_Live_Nation_could_move_forward_as_案例.md
20260311_distill_016.md,INDUSTRY,20260311_feed_20260311_The_Download_10_things_that_matter_in_AI_框架.md
20260311_distill_017.md,INDUSTRY,"20260311_The_Download__AI’s_role_in_the_Iran_war,_and_an_escalat_案例.md"
20260311_distill_018.md,INDUSTRY,"20260311_The_Download__an_AI_agent’s_hit_piece,_and_preventing_l_案例.md"
20260311_distill_019.md,INDUSTRY,"20260311_The_Download__murky_AI_surveillance_laws,_and_the_White_原则.md"
20260311_distill_020.md,INDUSTRY,20260311_The_usability_imperative_for_securing_digital_asset_dev_原则.md
20260311_distill_021.md,ENERGY_STORAGE,20260311_欧盟氢能商业化推广的关键路径与挑战_框架.md
20260311_distill_022.md,STARTUP,20260311_通过创新型中小企业生成增长与竞争力_框架.md
20260311_distill_023.md,INDUSTRY,20260311_CancerADAPT：通过操纵转录和代谢特征靶向前列腺癌的适应能力_框架.md
20260311_distill_024.md,INDUSTRY,20260311_page_20260311_cordis_europa_eu_article_id_463701-how-ca_框架.md
20260311_distill_025.md,INDUSTRY,20260311_page_20260311_cordis_europa_eu_article_id_463724-catchi_案例.md
20260311_distill_026.md,INDUSTRY,20260311_欧盟能源领域研究创新：实现气候中立的关键路径_框架.md
20260311_distill_027.md,INDUSTRY,20260311_欧盟食品与自然资源领域的研究与创新_框架.md
20260311_distill_028.md,INDUSTRY,20260311_GitHub_AI_相关概念知识库_术语.md
20260311_distill_029.md,INDUSTRY,20260311_GitHub_技术概念知识库摘要_术语.md
20260311_distill_030.md,INDUSTRY,20260311_GitHub_解决方案与用例_框架.md
20260311_distill_031.md,INDUSTRY,20260311_GitHub_App_Modernization_解决方案概述_框架.md
20260311_distill_032.md,INDUSTRY,20260311_GitHub_CI_CD_解决方案概述_框架.md
20260311_distill_033.md,INDUSTRY,20260311_page_20260311_github_com_solutions_use-case_devops_框架.md
20260311_distill_034.md,INDUSTRY,20260311_GitHub_DevSecOps_平台的核心价值与实现_框架.md
20260311_distill_035.md,INDUSTRY,20260311_GitHub_的价值主张与核心能力_框架.md
20260311_distill_036.md,STARTUP,20260311_Sunnova_Energy_的社区微电网商业模式与行业障碍分析_框架.md
20260311_distill_037.md,INDUSTRY,20260311_Transactive_Energy_Tariffs_Provide_a_Pathway_to_Market_框架.md
20260311_distill_038.md,INDUSTRY,20260311_microgridresources_org_-_resources_框架.md
20260311_distill_039.md,INDUSTRY,20260311_microgridresources_org_-_what-is-microgrid_框架.md
20260311_distill_040.md,INDUSTRY,20260311_探索低功耗藍牙®（BLE）的簡單應用_框架.md
20260311_distill_041.md,INDUSTRY,20260311_探索蓝牙低功耗的简单应用_框架.md
20260311_distill_042.md,INDUSTRY,20260311_page_20260311_mu_microchip_com_exploring-bluetooth-low-_框架.md
20260311_distill_043.md,INDUSTRY,20260311_page_20260311_mu_microchip_com_first-steps-into-bluetoo_框架.md
20260311_distill_044.md,INDUSTRY,20260311_page_20260311_mu_microchip_com_first-steps-into-bluetoo_框架.md
20260311_distill_045.md,INDUSTRY,20260311_page_20260311_mu_microchip_com_getting-started-developi_框架.md
20260311_distill_046.md,INDUSTRY,20260311_Microchip_在线学习平台课程体系分析_框架.md
20260311_distill_047.md,CRISIS_MANAGEMENT,20260311_page_20260311_mu_microchip_com_page_new-courses_案例.md
20260311_distill_048.md,INDUSTRY,20260311_Ecology_I__The_Earth_System_框架.md
20260311_distill_049.md,FINANCIALS,20260311_Financing_Economic_Development_框架.md
20260311_distill_050.md,INDUSTRY,20260311_page_20260311_ocw_mit_edu_courses_21m-s53-chinese-popul_框架.md
